"X0","X1","Overall","var","Variables","Resample"
42.7562536620649,42.7562536620649,42.7562536620649,"Administrative_Duration",13,"Fold01"
41.1203343169385,41.1203343169385,41.1203343169385,"Browser",13,"Fold01"
40.9247481306754,40.9247481306754,40.9247481306754,"Administrative",13,"Fold01"
29.6905228747753,29.6905228747753,29.6905228747753,"Informational_Duration",13,"Fold01"
28.3437107522259,28.3437107522259,28.3437107522259,"Weekend",13,"Fold01"
234.51344507727,234.51344507727,234.51344507727,"PageValues",12,"Fold01"
71.8416925531134,71.8416925531134,71.8416925531134,"Month",12,"Fold01"
65.9170506971884,65.9170506971884,65.9170506971884,"Region",12,"Fold01"
51.4679494244878,51.4679494244878,51.4679494244878,"ExitRates",12,"Fold01"
46.3894591617556,46.3894591617556,46.3894591617556,"ProductRelated",12,"Fold01"
